cutoff,policy_label,explanation,escalated,escalated_pct,n,correct,accuracy_pct,missed_big,false_big,blended_cost_per_1000_usd,summary_estimate_per_1000_usd
0.2,"Jev first, ask Luna when under 20% sure","Jev answers. When it is less than 20% sure, the message is sent to gpt-5.6-luna instead. That happened on 5.7% of messages.",32,5.7,565,527,93.3,14,24,0.0762,0.0734
0.4,"Jev first, ask Luna when under 40% sure","Jev answers. When it is less than 40% sure, the message is sent to gpt-5.6-luna instead. That happened on 11.5% of messages.",65,11.5,565,523,92.6,14,28,0.0898,0.0853
0.6,"Jev first, ask Luna when under 60% sure","Jev answers. When it is less than 60% sure, the message is sent to gpt-5.6-luna instead. That happened on 20.7% of messages.",117,20.7,565,509,90.1,15,41,0.1107,0.1041
